Price,Date,Close,High,Low,Open,Volume
Ticker,,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
119,2023-09-25,130.4861602783203,130.54587235985892,128.34639636353074,129.2122519182116,20094600
120,2023-09-26,127.95824432373047,129.73972044721884,126.61466183176898,129.1525314353715,25718700
121,2023-09-27,129.9188690185547,130.27715670469198,127.95825647590418,127.95825647590418,22746500
122,2023-09-28,131.68045043945312,132.66574536563317,129.1724366549313,129.2222017860651,22513100
123,2023-09-29,130.23733520507812,133.41215879768615,129.739714333163,132.64581840280536,30848100
124,2023-10-02,133.53158569335938,133.78039613443357,130.545860400469,130.58567857530397,22288000
125,2023-10-03,131.79986572265625,133.62116005886995,131.21267669893393,133.3026905762113,22989400
126,2023-10-04,134.5965118408203,134.9249434701971,131.8993997738575,132.15815718510046,26752300
127,2023-10-05,134.42730712890625,134.8453068312004,132.81500520727624,134.42730712890625,19832600
128,2023-10-06,136.9253692626953,137.50261133155155,133.37234873185216,133.37234873185216,27583200
129,2023-10-09,137.7613525390625,138.2788824686098,134.9647258274304,136.28839909393267,19278100
130,2023-10-10,137.403076171875,139.05518115278088,136.67655393277659,137.8409849799401,27786600
131,2023-10-11,139.88125610351562,140.43858915374793,137.920628289257,137.920628289257,25884300
132,2023-10-12,138.30874633789062,140.54804026123193,137.60211801793758,140.37885098714375,24765500
133,2023-10-13,136.7064208984375,139.33385877066547,135.96993646362293,138.71681368426044,23420500
134,2023-10-16,138.43812561035156,138.96560249289772,137.3334067233584,137.51254293878173,28501900
135,2023-10-17,139.05517578125,139.23431200334724,136.5272532818645,137.9703659398381,23515800
136,2023-10-18,137.30357360839844,140.0504356733887,136.7263315075888,138.7864742597851,23375000
137,2023-10-19,137.09454345703125,138.99545873876005,136.72630888953833,137.84097472812218,26066000
138,2023-10-20,134.9547882080078,137.213976060409,134.43725824267983,136.6765521940106,26315200
139,2023-10-23,135.85049438476562,137.00497842129087,133.31262496891244,134.39743479587233,26317900
140,2023-10-24,138.14950561523438,138.6968916178538,136.76612018289654,137.17417294722958,44814300
141,2023-10-25,125.01231384277344,127.69946346643458,124.47488239942285,127.55018328196924,84366200
142,2023-10-26,121.69815826416016,123.73840686021325,120.69296198472638,122.68344545674232,57061100
143,2023-10-27,121.58868408203125,122.72325908177865,119.63801114223584,122.2953048209552,44566500
144,2023-10-30,123.8677978515625,124.80332760609076,122.16593522517718,122.6237455580271,28940100
145,2023-10-31,123.4896011352539,124.7734639348329,122.10621567689739,124.46493382160276,26292300
146,2023-11-01,125.84832763671875,125.88813822149176,123.13132166552205,123.47965479092001,30082400
147,2023-11-02,126.88337707519531,128.36628525589762,126.32604408767605,127.80895226837836,27124600
148,2023-11-03,128.48573303222656,128.91367975208917,127.25162763160075,127.41086997739491,26380100
149,2023-11-06,129.63023376464844,129.71980187458107,128.0577500279253,128.43594674032983,19052700
150,2023-11-07,130.34681701660156,131.28234671869467,129.26200712212525,130.08805962107587,29757300
151,2023-11-08,131.21267700195312,131.580926799427,130.15772310979614,130.34682148408558,26425800
152,2023-11-09,129.62030029296875,131.91930647073386,129.45111100566407,131.33211744076144,23747800
153,2023-11-10,131.9591064453125,132.16811390496133,128.79424481480643,129.48096408570086,26913300
154,2023-11-13,131.4615020751953,131.95912303711475,130.62550250385542,131.1529795085951,18324800
